name,osm_id,geojson
"Nisqually Icefall",356547215,'{"type":"Point","coordinates":[-121.7539848,46.8373303]}'
"Muir Snowfield",356549781,'{"type":"Point","coordinates":[-121.731206,46.8270529]}'
"The Turtle",356547214,'{"type":"Point","coordinates":[-121.7595403,46.828997]}'
"Carbon Glacier",179548388,'{"type":"LineString","coordinates":[[-121.7587897,46.8766644],[-121.7552891,46.8806863],[-121.7554381,46.8854206],[-121.7583428,46.8899508],[-121.7632585,46.8939208],[-121.7671314,46.9001297],[-121.7697382,46.9040481],[-121.7783033,46.9024706],[-121.7797929,46.8975852],[-121.7785268,46.8929538],[-121.7791226,46.8882711],[-121.7777075,46.8846061],[-121.7770372,46.8804827],[-121.7766648,46.8778863],[-121.772047,46.8783445],[-121.7702595,46.8828244],[-121.7690679,46.8777845],[-121.7672059,46.8749843],[-121.7627371,46.8752388],[-121.7587897,46.8766644]]}'
"Inter Glacier",162623328,'{"type":"LineString","coordinates":[[-121.7210877,46.8844243],[-121.7233193,46.8831337],[-121.725036,46.8823124],[-121.7269242,46.8810218],[-121.7277825,46.8798484],[-121.7288125,46.8780883],[-121.7300141,46.8759762],[-121.7305291,46.8748027],[-121.7305291,46.8736293],[-121.7301858,46.8728079],[-121.7277825,46.8728079],[-121.7252076,46.8728079],[-121.7236627,46.8731599],[-121.7216027,46.8739814],[-121.7207444,46.8752721],[-121.7191995,46.8758588],[-121.7179978,46.8765629],[-121.7179978,46.877619],[-121.7173112,46.8796137],[-121.7159379,46.8820777],[-121.7159379,46.8833684],[-121.7159379,46.8855976],[-121.7145646,46.8866535],[-121.7173112,46.8859495],[-121.7191995,46.8850109],[-121.7210877,46.8844243]]}'
"Pyramid Glaciers",162623331,'{"type":"LineString","coordinates":[[-121.7874835,46.8287192],[-121.7861102,46.8276622],[-121.7859385,46.8264877],[-121.7852519,46.825783],[-121.7854236,46.8241386],[-121.7854236,46.8221418],[-121.7862819,46.8203798],[-121.7864535,46.8187352],[-121.7871402,46.8179129],[-121.7864535,46.8172081],[-121.7862819,46.8157984],[-121.7859385,46.8136839],[-121.7864535,46.8136839],[-121.7874835,46.8146237],[-121.7874835,46.812979],[-121.7892001,46.8139189],[-121.7893718,46.8161508],[-121.79126,46.8190876],[-121.7921184,46.8193226],[-121.7914317,46.817443],[-121.7910884,46.8149762],[-121.7921184,46.812979],[-121.793835,46.8135664],[-121.7952083,46.8141538],[-121.7957232,46.812979],[-121.7965815,46.8142713],[-121.7977832,46.8160334],[-121.7982982,46.8149762],[-121.7986415,46.8134489],[-121.7996715,46.8108643],[-121.8012164,46.8089844],[-121.802418,46.8093369],[-121.8017314,46.8108643],[-121.8015645,46.812979],[-121.8012164,46.8147412],[-121.8020747,46.8115692],[-121.8041346,46.8101593],[-121.8037913,46.808632],[-121.8025897,46.8068696],[-121.8020747,46.8052246],[-121.8043063,46.8055771],[-121.8056796,46.807457],[-121.8055079,46.8031096],[-121.8073962,46.801582],[-121.8073962,46.8036971],[-121.8077395,46.807927],[-121.8092845,46.807927],[-121.8094562,46.8092194],[-121.8082545,46.8101593],[-121.8084262,46.8114517],[-121.8097995,46.8096894],[-121.8128894,46.8095719],[-121.8185542,46.8087495],[-121.8149493,46.8101593],[-121.8118594,46.8109818],[-121.8085978,46.8125091],[-121.8075679,46.8136839],[-121.804993,46.8161508],[-121.8065379,46.8136839],[-121.8065379,46.8109818],[-121.8056796,46.8118042],[-121.804993,46.8133314],[-121.8031047,46.8148587],[-121.8022464,46.8155635],[-121.8032763,46.8167382],[-121.802933,46.8182654],[-121.8001864,46.8188527],[-121.7977832,46.8208496],[-121.7941783,46.8224941],[-121.79229,46.8241386],[-121.7914317,46.8248433],[-121.7893718,46.8267226],[-121.7885135,46.8280146],[-121.7874835,46.8287192]]}'
"Puyallup Glacier",180171952,'{"type":"LineString","coordinates":[[-121.8052818,46.8502299],[-121.8081799,46.8517037],[-121.8106321,46.8526692],[-121.8162798,46.8537364],[-121.8185091,46.8539397],[-121.8228191,46.8536348],[-121.8245283,46.8550577],[-121.8272778,46.856633],[-121.8301759,46.8557691],[-121.8328511,46.8551593],[-121.8387216,46.854143],[-121.8408023,46.8525168],[-121.8415454,46.8509922],[-121.8425115,46.8495692],[-121.8439234,46.8481461],[-121.8453353,46.8469772],[-121.8460041,46.8454524],[-121.8453353,46.8441309],[-121.8423629,46.8444867],[-121.8408023,46.8442834],[-121.8399849,46.843216],[-121.8399849,46.8421486],[-121.8410996,46.8417928],[-121.8432546,46.841742],[-121.8436261,46.8410303],[-121.8421399,46.8401662],[-121.8396877,46.8393021],[-121.837384,46.8390987],[-121.8345602,46.8395562],[-121.832108,46.8408778],[-121.8298786,46.8416403],[-121.8259402,46.8427077],[-121.8223732,46.8436226],[-121.8194751,46.8439276],[-121.8160568,46.8445375],[-121.813233,46.8454016],[-121.8090716,46.8466214],[-121.8015662,46.847892],[-121.79577,46.8489593],[-121.7958443,46.8498233],[-121.7986681,46.8503315],[-121.8003772,46.8503315],[-121.8027552,46.8502807],[-121.8052818,46.8502299]]}'
"Kautz Glacier",180072757,'{"type":"LineString","coordinates":[[-121.7687134,46.8410572],[-121.7675918,46.841328],[-121.766932,46.8405157],[-121.7668,46.8393874],[-121.7672619,46.8383945],[-121.7662062,46.836544],[-121.7662062,46.83519],[-121.7659423,46.8336553],[-121.7650186,46.8326623],[-121.7658763,46.8322109],[-121.7656124,46.8300894],[-121.7671299,46.8290963],[-121.7679216,46.8282386],[-121.7672619,46.8269295],[-121.7679216,46.8254849],[-121.7705608,46.8240403],[-121.7715504,46.8230471],[-121.7737277,46.8225054],[-121.775971,46.8225054],[-121.7783462,46.8224602],[-121.7791379,46.8212413],[-121.7786761,46.8195708],[-121.7796657,46.8177648],[-121.7811172,46.8156879],[-121.7815131,46.8139721],[-121.7823049,46.8120756],[-121.781777,46.81045],[-121.7823049,46.8092759],[-121.7844821,46.8114434],[-121.78501,46.8145139],[-121.7838883,46.8171327],[-121.7830966,46.8192548],[-121.7827667,46.8207446],[-121.7824788,46.821862],[-121.7818939,46.8233111],[-121.7781166,46.8256022],[-121.7766486,46.82532],[-121.775362,46.8263132],[-121.7739765,46.8269],[-121.7731848,46.8286831],[-121.7728219,46.8290443],[-121.7719642,46.8302179],[-121.7722611,46.8303985],[-121.772426,46.8315721],[-121.7700838,46.8349348],[-121.7697209,46.8371915],[-121.7699189,46.8388615],[-121.7681374,46.8400574],[-121.7688962,46.8406442],[-121.7687134,46.8410572]]}'
"Nisqually Glacier",180072759,'{"type":"LineString","coordinates":[[-121.7542606,46.8492928],[-121.748167,46.8428188],[-121.7473155,46.8405292],[-121.7475886,46.8381379],[-121.7465389,46.8362071],[-121.7432731,46.831276],[-121.7437863,46.8346911],[-121.7433664,46.8376433],[-121.743553,46.8397974],[-121.7423703,46.8394042],[-121.7408433,46.8375448],[-121.7380363,46.8338643],[-121.7379583,46.8278897],[-121.7383482,46.8251688],[-121.7367888,46.8212207],[-121.7381143,46.8192999],[-121.7356971,46.8158316],[-121.7393619,46.808254],[-121.7437283,46.8005151],[-121.7454437,46.8037709],[-121.7448199,46.8129501],[-121.7413112,46.8171656],[-121.7409993,46.821861],[-121.744664,46.825809],[-121.747549,46.8287966],[-121.7599406,46.8480952],[-121.7597106,46.848659],[-121.7592919,46.8490245],[-121.7583993,46.8493302],[-121.7575575,46.8495089],[-121.7568406,46.8496461],[-121.7561195,46.8496626],[-121.7550839,46.8496686],[-121.7542606,46.8492928]]}'
"Fryingpan Glacier",180644201,'{"type":"LineString","coordinates":[[-121.6906545,46.8618459],[-121.689796,46.8618768],[-121.6893442,46.8611662],[-121.6890279,46.8603321],[-121.6874013,46.8602703],[-121.6858199,46.8597141],[-121.6830185,46.8596832],[-121.6807141,46.8592816],[-121.6810304,46.8587872],[-121.6801719,46.858262],[-121.6793586,46.858262],[-121.6776868,46.8584165],[-121.678726,46.8573042],[-121.6758342,46.8572733],[-121.6760601,46.8581075],[-121.6733943,46.8586637],[-121.6726714,46.8571497],[-121.6706833,46.8570261],[-121.6693277,46.8586946],[-121.6666167,46.8582929],[-121.6676108,46.8571188],[-121.6679722,46.856439],[-121.6681982,46.8553267],[-121.6693729,46.8544615],[-121.6681982,46.8528548],[-121.6676559,46.8508153],[-121.6663456,46.8506917],[-121.6650353,46.8511552],[-121.6645383,46.8501664],[-121.6639057,46.8505372],[-121.6632731,46.8500737],[-121.6624146,46.8501046],[-121.6629116,46.849332],[-121.664222,46.8490539],[-121.6649901,46.8484359],[-121.6648997,46.8478178],[-121.6668426,46.8469834],[-121.6679722,46.8467362],[-121.6707284,46.8470761],[-121.671361,46.8475088],[-121.6705929,46.848065],[-121.6711351,46.8481886],[-121.6718129,46.8480032],[-121.6729876,46.8485595],[-121.6757439,46.8479414],[-121.6764216,46.8479723],[-121.677732,46.8467362],[-121.6781838,46.8455618],[-121.6785001,46.8443256],[-121.6788615,46.8433367],[-121.6800363,46.8426567],[-121.67972,46.8445111],[-121.6808948,46.8439239],[-121.6829281,46.8432131],[-121.6836059,46.8435839],[-121.682657,46.8439857],[-121.6823859,46.8455927],[-121.6828829,46.8459945],[-121.6834251,46.8454382],[-121.6842836,46.8449746],[-121.6855036,46.845191],[-121.6855488,46.8458091],[-121.6860458,46.8469834],[-121.6854132,46.8475706],[-121.6864073,46.8478796],[-121.6864073,46.8483122],[-121.6863169,46.8488067],[-121.6880339,46.8497028],[-121.6904738,46.8498883],[-121.6929137,46.8494247],[-121.6943596,46.8495174],[-121.6958507,46.8500428],[-121.6964381,46.8504445],[-121.6963929,46.8509698],[-121.6972966,46.8510625],[-121.6979743,46.8514951],[-121.6986973,46.8517114],[-121.6985617,46.8524839],[-121.7028542,46.8521131],[-121.6998721,46.8517114],[-121.6999624,46.8513406],[-121.6990587,46.8511243],[-121.7021312,46.8507226],[-121.7004594,46.8503827],[-121.6996461,46.8506299],[-121.6981551,46.8504136],[-121.6981551,46.8494247],[-121.7012728,46.8484977],[-121.7026735,46.8480341],[-121.7036223,46.8498574],[-121.7051134,46.8508153],[-121.7066496,46.8520513],[-121.7057008,46.8521131],[-121.707734,46.852762],[-121.7062882,46.8535963],[-121.7052038,46.8546778],[-121.7033964,46.8548323],[-121.7025379,46.8560683],[-121.7013631,46.8563154],[-121.7006402,46.8570261],[-121.6981099,46.8573969],[-121.697161,46.8598377],[-121.6961218,46.8598068],[-121.6944048,46.860054],[-121.6931848,46.8610735],[-121.6918293,46.8620004],[-121.6906545,46.8618459]]}'
"Wilson Glacier",180072762,'{"type":"LineString","coordinates":[[-121.7468899,46.8261359],[-121.7440859,46.8237884],[-121.7431952,46.8214183],[-121.7431952,46.8195672],[-121.7431292,46.817084],[-121.7448446,46.8146232],[-121.7470219,46.8117559],[-121.7500899,46.8129074],[-121.7512874,46.8137569],[-121.7500951,46.8104667],[-121.7561928,46.8102883],[-121.7569516,46.8116656],[-121.7550152,46.8152079],[-121.753746,46.8143968],[-121.7524854,46.8146209],[-121.7543464,46.8158968],[-121.7542065,46.8186697],[-121.753616,46.8220756],[-121.7550935,46.8241393],[-121.7567836,46.8270983],[-121.7601185,46.8281899],[-121.761768,46.8304243],[-121.7613061,46.832433],[-121.7559289,46.8328393],[-121.7523331,46.832275],[-121.7499763,46.8298519],[-121.7468899,46.8261359]]}'
"Whitman Glacier",180644205,'{"type":"LineString","coordinates":[[-121.7071479,46.8510043],[-121.7067964,46.850458],[-121.7057421,46.8503051],[-121.7044002,46.8489066],[-121.7044002,46.8481855],[-121.7053267,46.8477266],[-121.7052948,46.8473333],[-121.7044002,46.8476611],[-121.703218,46.8477266],[-121.7033778,46.8473115],[-121.7021317,46.8479233],[-121.7011093,46.8482729],[-121.6982978,46.8486881],[-121.6961252,46.8484477],[-121.6971156,46.8491907],[-121.6966044,46.8495622],[-121.6958376,46.849584],[-121.6948472,46.8491251],[-121.6941443,46.8486663],[-121.6932816,46.8484696],[-121.6925148,46.8488848],[-121.6919397,46.8488629],[-121.6900227,46.8487318],[-121.6888406,46.8489066],[-121.6882336,46.8483166],[-121.6880099,46.8477703],[-121.6871473,46.8471585],[-121.6870514,46.8466559],[-121.6871792,46.8461314],[-121.6876904,46.8458474],[-121.6912049,46.8463718],[-121.6913007,46.8460003],[-121.6896074,46.8453885],[-121.6885211,46.8450388],[-121.687946,46.8447766],[-121.6876265,46.8445362],[-121.6869236,46.8443395],[-121.6861249,46.8437495],[-121.6866041,46.8433124],[-121.6864124,46.8419138],[-121.6863805,46.8411707],[-121.6859332,46.8405588],[-121.6851983,46.8401873],[-121.6850386,46.8407992],[-121.6846232,46.841127],[-121.6845274,46.8421323],[-121.6845593,46.8425912],[-121.6839523,46.8427442],[-121.683505,46.8425038],[-121.684144,46.8420886],[-121.684112,46.8417826],[-121.6835689,46.8418045],[-121.6832494,46.8414111],[-121.6830651,46.8405639],[-121.683788,46.8403398],[-121.6833023,46.840023],[-121.6829634,46.8400307],[-121.682681,46.8401621],[-121.6821049,46.8398375],[-121.6821688,46.8394332],[-121.6819771,46.8388213],[-121.6811145,46.8385153],[-121.6798685,46.8370072],[-121.6788461,46.8360019],[-121.6791975,46.8355429],[-121.680188,46.8347779],[-121.6805714,46.8340566],[-121.6804116,46.8338162],[-121.6799643,46.8342314],[-121.6788461,46.8337287],[-121.6786863,46.8331823],[-121.6768652,46.8326577],[-121.6765776,46.8321331],[-121.6768332,46.8317834],[-121.6762901,46.8305812],[-121.676961,46.8302314],[-121.6771208,46.8298161],[-121.6766735,46.8292259],[-121.6774403,46.8287231],[-121.6775361,46.8297287],[-121.6779515,46.8299035],[-121.6784627,46.8304063],[-121.6798685,46.8307342],[-121.6803158,46.8313025],[-121.6813062,46.8318708],[-121.6809228,46.8321331],[-121.6812742,46.8323517],[-121.6809228,46.832767],[-121.6807311,46.8330074],[-121.6821049,46.8332479],[-121.6829356,46.8333353],[-121.6837983,46.8332041],[-121.6837663,46.8337287],[-121.682712,46.8343407],[-121.6829995,46.8351057],[-121.6841178,46.8352806],[-121.6852999,46.8351057],[-121.6863862,46.8347342],[-121.6872808,46.8351276],[-121.6892937,46.835215],[-121.689709,46.8356084],[-121.6901883,46.8357177],[-121.6905397,46.8360893],[-121.691626,46.8353899],[-121.6940542,46.8363953],[-121.6949168,46.8364171],[-121.6953002,46.8361767],[-121.6944056,46.8356084],[-121.6931596,46.8342752],[-121.692265,46.8340566],[-121.6916579,46.8334883],[-121.6918496,46.8329637],[-121.6929998,46.832767],[-121.69415,46.833073],[-121.6941181,46.8334227],[-121.694789,46.8335539],[-121.6951405,46.8331604],[-121.6961629,46.8334227],[-121.6963546,46.8341659],[-121.6970255,46.8343844],[-121.697377,46.8353243],[-121.6971853,46.835827],[-121.6974728,46.8361986],[-121.6965143,46.8369198],[-121.6970894,46.8379689],[-121.7004122,46.838712],[-121.7003802,46.8394332],[-121.7010512,46.8398922],[-121.6974409,46.8420121],[-121.6978882,46.8420339],[-121.6995176,46.8417935],[-121.6997093,46.842165],[-121.6999649,46.8431485],[-121.7007636,46.843061],[-121.7015624,46.8429736],[-121.70054,46.8424491],[-121.7014346,46.8419028],[-121.7028084,46.8428207],[-121.7027765,46.8432796],[-121.7041503,46.8436948],[-121.7046935,46.8443723],[-121.7041503,46.8454649],[-121.7046935,46.8455305],[-121.7048852,46.8452245],[-121.7059076,46.8454868],[-121.7062271,46.846186],[-121.7067383,46.8464483],[-121.7066744,46.8468197],[-121.7073453,46.847082],[-121.7073773,46.8474972],[-121.7076968,46.8476938],[-121.7068022,46.8488083],[-121.7066105,46.8495075],[-121.7080482,46.8501193],[-121.7084955,46.8504908],[-121.7082399,46.8509715],[-121.7074412,46.8511463],[-121.7071479,46.8510043]]}'
"Edmunds Glacier",180171949,'{"type":"LineString","coordinates":[[-121.817785,46.8646156],[-121.8141594,46.8640048],[-121.8115847,46.8637174],[-121.8084845,46.8644],[-121.8063301,46.8643282],[-121.8041232,46.8649749],[-121.8022315,46.8652623],[-121.8005501,46.8657293],[-121.7997619,46.8669508],[-121.7999195,46.8679926],[-121.8012857,46.8683518],[-121.802757,46.8687829],[-121.8043333,46.8693577],[-121.8054368,46.8700043],[-121.8043333,46.8709024],[-121.8047012,46.871549],[-121.8065928,46.8713694],[-121.8076437,46.8715849],[-121.8095879,46.8716568],[-121.8100083,46.8721238],[-121.8118474,46.8732373],[-121.8164714,46.8732014],[-121.818941,46.8722315],[-121.8225142,46.8712257],[-121.824616,46.8708665],[-121.8258245,46.8716927],[-121.8265076,46.8723034],[-121.8279789,46.8714412],[-121.8282942,46.8705432],[-121.827506,46.8694296],[-121.8254567,46.8687829],[-121.82346,46.8680285],[-121.8225667,46.8673819],[-121.8221989,46.8666993],[-121.8225142,46.8660526],[-121.8227769,46.8655856],[-121.8224616,46.864903],[-121.8214107,46.8643282],[-121.8205174,46.8640767],[-121.819519,46.8642204],[-121.8189936,46.8645437],[-121.8184156,46.8646874],[-121.817785,46.8646156]]}'
