name,osm_id,geojson
"",333836791,'{"type":"Point","coordinates":[-122.6545074,45.5312548]}'
"",333833186,'{"type":"Point","coordinates":[-122.6532358,45.5300528]}'
"",1382177085,'{"type":"Point","coordinates":[-122.651801,45.5296899]}'
"",1426559335,'{"type":"Point","coordinates":[-122.6520993,45.5313376]}'
"",1474540550,'{"type":"Point","coordinates":[-122.65601,45.5318327]}'
"",1739870898,'{"type":"Point","coordinates":[-122.6536901,45.5308428]}'
"",333841494,'{"type":"Point","coordinates":[-122.6637189,45.5300799]}'
"",1382153466,'{"type":"Point","coordinates":[-122.6627357,45.5301081]}'
"",1396250558,'{"type":"Point","coordinates":[-122.6638283,45.5301154]}'
"",1342520151,'{"type":"Point","coordinates":[-122.652586,45.529596]}'
"",279819354,'{"type":"Point","coordinates":[-122.6554619,45.5306151]}'
"",1757629721,'{"type":"Point","coordinates":[-122.6514769,45.5325549]}'
"",1396605335,'{"type":"Point","coordinates":[-122.6544492,45.5299374]}'
"",1323023951,'{"type":"Point","coordinates":[-122.6559019,45.5300845]}'
"",1739870994,'{"type":"Point","coordinates":[-122.6564846,45.5316105]}'
"",40624964,'{"type":"Point","coordinates":[-122.6565851,45.5343514]}'
"",1382177079,'{"type":"Point","coordinates":[-122.6520604,45.5296519]}'
"",1396604479,'{"type":"Point","coordinates":[-122.6565966,45.5315968]}'
"",1426559331,'{"type":"Point","coordinates":[-122.654785,45.5305073]}'
"",1396604471,'{"type":"Point","coordinates":[-122.656588,45.5292566]}'
"",1739870978,'{"type":"Point","coordinates":[-122.6564738,45.5315928]}'
"",1829184970,'{"type":"Point","coordinates":[-122.6545966,45.5306449]}'
"",1474540532,'{"type":"Point","coordinates":[-122.6564812,45.5315973]}'
"",1474540641,'{"type":"Point","coordinates":[-122.653559,45.5335381]}'
"",1323024965,'{"type":"Point","coordinates":[-122.654504,45.5305762]}'
"",1426573399,'{"type":"Point","coordinates":[-122.6534004,45.530202]}'
"",1342520155,'{"type":"Point","coordinates":[-122.6525981,45.5295455]}'
"",40576506,'{"type":"Point","coordinates":[-122.6545831,45.5299986]}'
